"","replicate_fingerprinting","sample","farm_code","sp_sample","sp_tricot","sp_id","sp_tgroup","index_final_value","source","source_who","first_time_seed","gender","treated","tricot","inder","tech_pkg","education","SEF1","SEF2","SEF3","SEF4","match","match2","match3","match4","farmer_clean_name","farmer_identified_name","original_farmer_identified_name","dna_identified_first","dna_identified_second_processed","dna_identified_second","dna_identified_third","dna_identified_fourth","gendist_match4","gendist_match3","gendist_match2","first_gen_distance","second_gen_distance","third_gen_distance","fourth_gen_distance","first_similarity","second_similarity","third_similarity","fourth_similarity","first_match","second_match","first_cat","second_cat","region","district","village","seed_origin","seed_source","first_time_seed_use","seed_cycles","area","max_ref_distance_1","sd_ref_distance_1","range_max","FCI","FCI_2","match_only_name","match_name_manual_cleaning","invFCI","invFCI_SP","count_neigh_1km","count_match_1km","ratio_match_1km","count_neigh_5km","count_match_5km","ratio_match_5km","gender_recoded"
"56",1,"F30_1B",30,"yes",0,330,"T2",7,"Unreliable","Family","Yes",1,0,0,1,0,6,0,0,0,0,0,0,0,0,"dontknow","dontknow","no se","cabecar","victoria","victoria","matambu","tayni",0.07127253,0.07127253,0.07127253,0.07127253,0.09671233,0.12089716,0.12342982,92.872747,90.328767,87.910284,87.657018,"FALSE","FALSE","category 4","category 4","South","Colinas","Guagaral","De Familiares","Unreliable","Yes","NA","0.7",0.077070765,0.00190190515067399,0.078972670150674,0,0,"FALSE","FALSE",1,1,10,8,0.8,46,27,"0.58695652200000004",0
"57",1,"F32_1B",32,"yes",0,333,"T2",7,"Unreliable","Other","No",1,0,1,1,0,6,0,0,0,0,0,0,0,0,"landraces","panameno","panameno","victoria","cabecar","cabecar","curre","tayni",0.10082192,0.10082192,0.10082192,0.10082192,0.11032223,0.13506849,0.13653742,89.917808,88.967777,86.493151,86.346258,"FALSE","FALSE","category 2","category 2","South","Colinas","Guagaral","Otra","Unreliable","No","8","1.4",0.0024738868,0.0001425694227528,0.0026164562227528,1,1,"FALSE","FALSE",0,0,12,9,0.75,50,30,"0.6",0
"58",1,"F33_1B",33,"yes",0,334,"T2",7,"Reliable","Producers' association - bought","Yes",1,0,1,0,0,6,0,0,0,0,1,1,1,1,"nambi","nambi","nambi","nambi","tequila","tequila","victoria","cabecar",0.12268266,0.12268266,0.12268266,0.12268266,0.13291484,0.13561644,0.14609504,87.731734,86.708516,86.438356,85.390496,"TRUE","FALSE","category 2","category 2","South","Colinas","Guagaral","La compré a la Asociación de productores","Reliable","Yes","NA","3",0.0041163554,0.000142799891081788,0.00425915529108179,1,1,"TRUE","TRUE",0,0,12,8,0.666666667,48,27,"0.5625",0
"59",1,"F34_1A",34,"yes",0,298,"T2",7,"Unreliable","Family","No",1,1,1,0,0,6,0,0,0,0,0,0,0,0,"victoria","victoria","victoria","generalito","mantequilla","mantequilla(2)/sacapobres(1)","sacapobres","gibre",0.10631938,0.10631938,0.10631938,0.10631938,0.12703863,0.12875536,0.13137755,89.368062,87.296137,87.124464,86.862245,"FALSE","FALSE","category 2","category 3","South","Colinas","Guagaral","De Familiares","Unreliable","No","100","1",0.014096186,0.00155088650053763,0.0156470725005376,1,1,"FALSE","FALSE",0,0,13,6,0.461538462,52,30,"0.57692307700000001",0
"60",1,"F34_2A",34,"yes",0,298,"T2",7,"Unreliable","Family","No",1,1,1,0,0,6,0,0,0,0,1,1,1,1,"mantequilla","mantequilla","mantequilla","mantequilla","generalito","generalito","sacapobres","talamanca",0.016004415,0.016004415,0.016004415,0.016004415,0.07732526,0.109513275,0.12136986,98.3995585,92.267474,89.0486725,87.863014,"TRUE","FALSE","category 1","category 1","South","Colinas","Guagaral","De Familiares","Unreliable","No","100","0.7",0.018406594,0.000330705390234067,0.0187372993902341,0,0,"TRUE","TRUE",1,1,13,6,0.461538462,52,30,"0.57692307700000001",0
"61",1,"F34_3A",34,"yes",0,298,"T2",7,"Unreliable","Family","No",1,1,1,0,0,6,0,0,1,1,1,1,1,1,"nambi","nambi","nambi","nambi","tequila","tequila(2)/uran(1)","uran","RCB 593",0.003816794,0.003816794,0.003816794,0.003816794,0.13169399,0.13623904,0.13875206,99.6183206,86.830601,86.376096,86.124794,"TRUE","FALSE","category 1","category 3","South","Colinas","Guagaral","De Familiares","Unreliable","No","100","1",0.0041163554,0.000142799891081788,0.00425915529108179,0,0,"TRUE","TRUE",1,1,13,6,0.461538462,52,30,"0.57692307700000001",0
"62",1,"F35_1B",35,"yes",1,332,"B",6,"Reliable","Producers' association - bought","Yes",1,0,1,0,0,9,0,0,0,0,1,1,1,1,"victoria","victoria","victoria","victoria","matambu","matambu","tayni","cabecar",0.0019178082,0.0019178082,0.0019178082,0.0019178082,0.08652793,0.089939855,0.093647316,99.80821918,91.347207,91.0060145,90.6352684,"TRUE","FALSE","category 1","category 1","South","Colinas","Guagaral","La compré a la Asociación de productores","Reliable","Yes","NA","1",0.0024738868,0.0001425694227528,0.0026164562227528,0,0,"TRUE","TRUE",1,1,12,8,0.666666667,48,27,"0.5625",0
"63",1,"F36_1A",36,"yes",1,535,"T1",7,"Unreliable","Kept it from previous season","No",1,0,1,0,0,6,0,0,0,0,1,1,1,1,"victoria","victoria","victoria","victoria","matambu","matambu","tayni","cabecar",0.0021917808,0.0021917808,0.0021917808,0.0021917808,0.08680175,0.09021323,0.09392114,99.78082192,91.319825,90.978677,90.607886,"TRUE","FALSE","category 1","category 1","South","Pejibaye","Guagaral","La guardé de cosechas anteriores","Unreliable","No","2","4",0.0024738868,0.0001425694227528,0.0026164562227528,0,0,"TRUE","TRUE",1,1,11,7,0.636363636,47,27,"0.57446808500000002",0
"64",1,"F36_2A",36,"yes",1,535,"T1",7,"Unreliable","Kept it from previous season","No",1,0,1,0,0,6,0,0,1,1,1,1,1,1,"nambi","nambi","nambi","nambi","tequila","tequila(2)/uran(1)","uran","RCB 593",0.003818876,0.003818876,0.003818876,0.003818876,0.13176599,0.13623904,0.13867615,99.6181124,86.823401,86.376096,86.132385,"TRUE","FALSE","category 1","category 3","South","Pejibaye","Guagaral","La compré a la Asociación de productores","Reliable","Yes","NA","0.7",0.0041163554,0.000142799891081788,0.00425915529108179,0,0,"TRUE","TRUE",1,1,11,7,0.636363636,47,27,"0.57446808500000002",0
"65",1,"F37_1B",37,"yes",1,537,"B",7,"Unreliable","Other","No",1,0,1,1,1,6,0,0,1,1,0,0,0,0,"talamanca","talamanca","talamanca rojo","tequila","RCB 593","RCB 593","uran","victoria",0.017213115,0.017213115,0.017213115,0.017213115,0.10946908,0.11129386,0.12671421,98.2786885,89.053092,88.870614,87.328579,"FALSE","FALSE","category 1","category 2","South","Colinas","Guagaral","Otra","Unreliable","No","8","1",0.016447369,0.000422361612691621,0.0168697306126916,1,1,"FALSE","FALSE",0,0,3,2,0.666666667,53,31,"0.58490565999999999",0
